timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1541168140113,1598,Facebook,200,OK,MEAN 1-1,text,true,,513935,120,1,1,https://www.facebook.com/,569,0,109
1541168141712,1274,Facebook,200,OK,MEAN 1-1,text,true,,514425,120,1,1,https://www.facebook.com/,403,0,120
1541168142987,1217,Facebook,200,OK,MEAN 1-1,text,true,,513710,120,1,1,https://www.facebook.com/,360,0,114
1541168144206,1374,Facebook,200,OK,MEAN 1-1,text,true,,514536,120,1,1,https://www.facebook.com/,470,0,109
1541168145582,1404,Facebook,200,OK,MEAN 1-1,text,true,,514380,120,1,1,https://www.facebook.com/,533,0,122
1541168146987,1437,Facebook,200,OK,MEAN 1-1,text,true,,513959,120,1,1,https://www.facebook.com/,566,0,109
1541168148425,1408,Facebook,200,OK,MEAN 1-1,text,true,,514392,120,1,1,https://www.facebook.com/,553,0,112
1541168149834,1462,Facebook,200,OK,MEAN 1-1,text,true,,514507,120,1,1,https://www.facebook.com/,580,0,125
1541168151297,1250,Facebook,200,OK,MEAN 1-1,text,true,,514360,120,1,1,https://www.facebook.com/,375,0,187
1541168152548,1405,Facebook,200,OK,MEAN 1-1,text,true,,514351,120,1,1,https://www.facebook.com/,531,0,122
1541168153954,1394,Facebook,200,OK,MEAN 1-1,text,true,,514356,120,1,1,https://www.facebook.com/,448,0,119
1541168155349,1448,Facebook,200,OK,MEAN 1-1,text,true,,514520,120,1,1,https://www.facebook.com/,589,0,119
1541168156798,1442,Facebook,200,OK,MEAN 1-1,text,true,,514863,120,1,1,https://www.facebook.com/,577,0,116
1541168158242,1523,Facebook,200,OK,MEAN 1-1,text,true,,513912,120,1,1,https://www.facebook.com/,668,0,207
1541168159766,1346,Facebook,200,OK,MEAN 1-1,text,true,,514907,120,1,1,https://www.facebook.com/,475,0,119
1541168161115,1431,Facebook,200,OK,MEAN 1-1,text,true,,513911,120,1,1,https://www.facebook.com/,558,0,111
1541168162547,1318,Facebook,200,OK,MEAN 1-1,text,true,,514383,120,1,1,https://www.facebook.com/,458,0,112
1541168163866,1337,Facebook,200,OK,MEAN 1-1,text,true,,514480,120,1,1,https://www.facebook.com/,472,0,114
1541168165203,1435,Facebook,200,OK,MEAN 1-1,text,true,,514510,120,1,1,https://www.facebook.com/,567,0,110
1541168166639,1219,Facebook,200,OK,MEAN 1-1,text,true,,514879,120,1,1,https://www.facebook.com/,360,0,115
1541168167859,1186,Facebook,200,OK,MEAN 1-1,text,true,,513874,120,1,1,https://www.facebook.com/,314,0,121
1541168169046,1340,Facebook,200,OK,MEAN 1-1,text,true,,514457,120,1,1,https://www.facebook.com/,314,0,119
1541168170387,1187,Facebook,200,OK,MEAN 1-1,text,true,,513939,120,1,1,https://www.facebook.com/,315,0,119
1541168171576,1169,Facebook,200,OK,MEAN 1-1,text,true,,514026,120,1,1,https://www.facebook.com/,299,0,117
1541168172747,1453,Facebook,200,OK,MEAN 1-1,text,true,,514486,120,1,1,https://www.facebook.com/,602,0,122
1541168174201,1342,Facebook,200,OK,MEAN 1-1,text,true,,514398,120,1,1,https://www.facebook.com/,475,0,110
1541168175545,1343,Facebook,200,OK,MEAN 1-1,text,true,,514480,120,1,1,https://www.facebook.com/,464,0,117
1541168176889,1316,Facebook,200,OK,MEAN 1-1,text,true,,514059,120,1,1,https://www.facebook.com/,452,0,131
1541168178206,1430,Facebook,200,OK,MEAN 1-1,text,true,,513911,120,1,1,https://www.facebook.com/,567,0,131
1541168179637,1343,Facebook,200,OK,MEAN 1-1,text,true,,513941,120,1,1,https://www.facebook.com/,470,0,122
1541168180981,1531,Facebook,200,OK,MEAN 1-1,text,true,,514027,120,1,1,https://www.facebook.com/,663,0,122
1541168182513,1530,Facebook,200,OK,MEAN 1-1,text,true,,513891,120,1,1,https://www.facebook.com/,666,0,182
1541168184044,1436,Facebook,200,OK,MEAN 1-1,text,true,,514426,120,1,1,https://www.facebook.com/,575,0,109
1541168185481,1655,Facebook,200,OK,MEAN 1-1,text,true,,514431,120,1,1,https://www.facebook.com/,770,0,237
1541168187137,1311,Facebook,200,OK,MEAN 1-1,text,true,,514057,120,1,1,https://www.facebook.com/,446,0,127
1541168188449,1591,Facebook,200,OK,MEAN 1-1,text,true,,514050,120,1,1,https://www.facebook.com/,465,0,109
1541168190041,1382,Facebook,200,OK,MEAN 1-1,text,true,,514426,120,1,1,https://www.facebook.com/,510,0,102
1541168191423,1429,Facebook,200,OK,MEAN 1-1,text,true,,513977,120,1,1,https://www.facebook.com/,562,0,106
1541168192853,1338,Facebook,200,OK,MEAN 1-1,text,true,,514484,120,1,1,https://www.facebook.com/,461,0,122
1541168194191,1318,Facebook,200,OK,MEAN 1-1,text,true,,513953,120,1,1,https://www.facebook.com/,454,0,120
1541168195511,1341,Facebook,200,OK,MEAN 1-1,text,true,,513991,120,1,1,https://www.facebook.com/,468,0,107
1541168196853,1312,Facebook,200,OK,MEAN 1-1,text,true,,514391,120,1,1,https://www.facebook.com/,458,0,109
1541168198167,1436,Facebook,200,OK,MEAN 1-1,text,true,,514261,120,1,1,https://www.facebook.com/,472,0,136
1541168199604,1342,Facebook,200,OK,MEAN 1-1,text,true,,514068,120,1,1,https://www.facebook.com/,472,0,143
1541168200947,1338,Facebook,200,OK,MEAN 1-1,text,true,,514069,120,1,1,https://www.facebook.com/,459,0,111
1541168202286,1435,Facebook,200,OK,MEAN 1-1,text,true,,514056,120,1,1,https://www.facebook.com/,555,0,129
1541168203722,1194,Facebook,200,OK,MEAN 1-1,text,true,,514020,120,1,1,https://www.facebook.com/,331,0,113
1541168204917,1459,Facebook,200,OK,MEAN 1-1,text,true,,514397,120,1,1,https://www.facebook.com/,483,0,135
